,myID,0,1
242,ENSG00000184009,0.006834833,0.9931652
2270,ENSG00000070831,0.014067075,0.98593295
9997,ENSG00000081237,0.014217045,0.985783
6973,ENSG00000188906,0.016983997,0.98301595
2978,ENSG00000118260,0.020947522,0.9790525
8041,ENSG00000149294,0.02234616,0.97765386
7895,ENSG00000172936,0.022673488,0.9773265
6186,ENSG00000187608,0.022867719,0.9771323
4838,ENSG00000010810,0.02568664,0.9743133
6219,ENSG00000150093,0.025799524,0.9742004
4724,ENSG00000170345,0.025810126,0.9741899
9568,ENSG00000186951,0.027589701,0.9724103
13506,ENSG00000136810,0.028380906,0.97161907
6216,ENSG00000169896,0.030886639,0.96911335
6221,ENSG00000160255,0.032252956,0.96774703
5836,ENSG00000204389,0.032882866,0.96711713
13559,ENSG00000150991,0.03298308,0.9670169
2374,ENSG00000172216,0.033069365,0.9669306
5495,ENSG00000101336,0.03310003,0.96689993
13558,ENSG00000170315,0.033148352,0.96685165
5844,ENSG00000109971,0.03363448,0.9663655
2246,ENSG00000153563,0.033786606,0.96621335
2116,ENSG00000134057,0.034251984,0.96574795
10554,ENSG00000135828,0.03556103,0.964439
6222,ENSG00000259207,0.035563976,0.96443605
3155,ENSG00000107562,0.03579138,0.96420866
5416,ENSG00000179240,0.036308046,0.96369195
1248,ENSG00000151929,0.03675477,0.9632452
814,ENSG00000142192,0.036954466,0.96304554
3197,ENSG00000172115,0.037158243,0.96284175
5508,ENSG00000094631,0.037433654,0.9625664
4072,ENSG00000142627,0.03744018,0.96255976
12169,ENSG00000126561,0.037702426,0.96229756
1308,ENSG00000171552,0.03951759,0.9604824
4744,ENSG00000150907,0.040247403,0.9597526
10764,ENSG00000143947,0.04061917,0.95938087
4812,ENSG00000140564,0.040931188,0.9590688
6677,ENSG00000185896,0.041449647,0.95855033
2115,ENSG00000145386,0.042499736,0.9575003
6261,ENSG00000105639,0.04304808,0.9569519
2105,ENSG00000277632,0.04407969,0.95592034
7874,ENSG00000157601,0.044210587,0.95578945
5356,ENSG00000104687,0.046195466,0.9538045
4998,ENSG00000131095,0.04692045,0.9530795
3111,ENSG00000164733,0.047020268,0.95297974
714,ENSG00000182718,0.04742303,0.95257694
3822,ENSG00000078401,0.047693595,0.9523064
240,ENSG00000107796,0.047981817,0.9520182
2304,ENSG00000179776,0.04851322,0.9514868
7044,ENSG00000254087,0.048557255,0.9514428
22,ENSG00000165029,0.0487287,0.95127136
3838,ENSG00000167658,0.04877943,0.9512205
11890,ENSG00000142168,0.048814982,0.95118505
12739,ENSG00000104067,0.04887735,0.95112264
399,ENSG00000081051,0.049407374,0.95059264
5780,ENSG00000165704,0.049635325,0.9503647
8219,ENSG00000077150,0.049678978,0.950321
2218,ENSG00000101017,0.04993766,0.95006233
10163,ENSG00000128340,0.051069733,0.94893026
9591,ENSG00000108179,0.05171542,0.94828457
6735,ENSG00000130164,0.05214427,0.9478558
1057,ENSG00000162772,0.05287597,0.947124
1844,ENSG00000179218,0.05293836,0.94706166
5854,ENSG00000144381,0.055144664,0.94485533
2595,ENSG00000213341,0.05523293,0.94476706
1937,ENSG00000121691,0.056362268,0.94363767
13582,ENSG00000177889,0.056449752,0.9435502
12492,ENSG00000183735,0.056482818,0.9435172
8235,ENSG00000134259,0.056554295,0.9434457
6526,ENSG00000157404,0.05662615,0.94337386
1497,ENSG00000010671,0.056651983,0.94334793
3829,ENSG00000156508,0.056894258,0.94310576
5845,ENSG00000113013,0.056918707,0.94308126
13545,ENSG00000221983,0.057889976,0.94211
6061,ENSG00000166333,0.05861203,0.941388
6218,ENSG00000140678,0.058771376,0.9412287
5975,ENSG00000146674,0.06030361,0.93969643
451,ENSG00000204472,0.060448196,0.93955183
6100,ENSG00000168918,0.060717855,0.9392821
8600,ENSG00000135114,0.061409846,0.9385902
13831,ENSG00000164944,0.06167941,0.93832064
12761,ENSG00000174125,0.061713092,0.9382869
9343,ENSG00000197943,0.06210734,0.9378927
8361,ENSG00000164867,0.062273443,0.93772656
6718,ENSG00000182866,0.062290475,0.9377095
709,ENSG00000166825,0.062514104,0.9374859
3330,ENSG00000175197,0.0629985,0.9370015
9246,ENSG00000145675,0.063155755,0.9368442
3551,ENSG00000069345,0.063424036,0.93657595
5837,ENSG00000204388,0.06385385,0.93614614
12051,ENSG00000072310,0.06414562,0.9358544
13542,ENSG00000126261,0.06418727,0.9358127
13522,ENSG00000105397,0.064259246,0.93574077
12640,ENSG00000106799,0.06438359,0.93561643
13804,ENSG00000162692,0.06455599,0.93544406
2159,ENSG00000163468,0.064598955,0.935401
6210,ENSG00000091409,0.0648574,0.93514264
5660,ENSG00000184678,0.06503531,0.93496466
3134,ENSG00000036257,0.06558562,0.9344144
11406,ENSG00000113558,0.065848,0.934152
9878,ENSG00000143106,0.06598001,0.93402
