Gene,Score_gda,EI_gda,ensembl
ADA,0.02,1.0,ENSG00000196839
CDH3,0.01,1.0,ENSG00000062038
HDAC6,0.01,1.0,ENSG00000094631
PDCD6,0.01,1.0,ENSG00000249915
BCL2L11,0.04,1.0,ENSG00000153094
SH2B3,0.1,1.0,ENSG00000111252
TROAP,0.01,1.0,ENSG00000135451
OCLN,0.01,1.0,ENSG00000197822
MICA,0.01,1.0,ENSG00000204520
COMMD3-BMI1,0.06,1.0,ENSG00000269897
MSH5-SAPCD1,0.1,1.0,ENSG00000204410
UBA2,0.01,1.0,ENSG00000126261
DNM1L,0.03,1.0,ENSG00000087470
NR1H3,0.01,1.0,ENSG00000025434
HUWE1,0.02,1.0,ENSG00000086758
PTPRU,0.02,1.0,ENSG00000060656
EDIL3,0.02,1.0,ENSG00000164176
FSBP,0.01,1.0,ENSG00000265817
ACTR2,0.1,1.0,ENSG00000138071
KIF20A,0.01,1.0,ENSG00000112984
LRPPRC,0.01,1.0,ENSG00000138095
FRY,0.1,1.0,ENSG00000073910
FAM13A,0.1,1.0,ENSG00000138640
TRIM28,0.04,1.0,ENSG00000130726
PDZK1IP1,0.01,1.0,ENSG00000162366
CDK2,0.02,1.0,ENSG00000123374
RCL1,0.3,1.0,ENSG00000120158
RBM5,0.06,1.0,ENSG00000003756
TNK2,0.32,1.0,ENSG00000061938
CDK4,0.17,1.0,ENSG00000135446
TSHZ1,0.01,1.0,ENSG00000179981
CDK5,0.01,1.0,ENSG00000164885
MPZL2,0.1,1.0,ENSG00000149573
TRIM13,0.01,1.0,ENSG00000204977
CDK6,0.01,1.0,ENSG00000105810
FLOT1,0.02,1.0,ENSG00000137312
MSLN,0.02,1.0,ENSG00000102854
GPHN,0.01,1.0,ENSG00000171723
RABEPK,0.01,1.0,ENSG00000136933
CDKN1A,0.05,1.0,ENSG00000124762
CDK2AP2,0.02,1.0,ENSG00000167797
IRX5,0.01,1.0,ENSG00000176842
CDKN1B,0.03,1.0,ENSG00000111276
SIK1B,0.01,1.0,ENSG00000275993
CDKN2A,0.2,0.9329999999999999,ENSG00000147889
APC2,0.03,1.0,ENSG00000115266
ADAR,0.01,1.0,ENSG00000160710
CDKN2B,0.33,1.0,ENSG00000147883
LANCL1,0.01,1.0,ENSG00000115365
CDKN3,0.01,1.0,ENSG00000100526
NPM3,0.3,1.0,ENSG00000107833
DLC1,0.01,1.0,ENSG00000164741
NDRG1,0.02,1.0,ENSG00000104419
ADARB1,0.01,1.0,ENSG00000197381
IFITM3,0.01,1.0,ENSG00000142089
YAP1,0.1,1.0,ENSG00000137693
PRMT5,0.03,1.0,ENSG00000100462
CFDP1,0.01,1.0,ENSG00000153774
C1D,0.1,1.0,ENSG00000197223
TOMM40,0.3,1.0,ENSG00000130204
TACC3,0.02,1.0,ENSG00000013810
CLEC10A,0.01,1.0,ENSG00000132514
FST,0.01,1.0,ENSG00000134363
ATP5PD,0.3,1.0,ENSG00000167863
CEACAM5,0.1,0.9670000000000001,ENSG00000105388
CEBPA,0.01,1.0,ENSG00000245848
SEMA4B,0.01,1.0,ENSG00000185033
CEBPB,0.01,1.0,ENSG00000172216
APPBP2,0.01,1.0,ENSG00000062725
CIB1,0.02,1.0,ENSG00000185043
NOP56,0.3,1.0,ENSG00000101361
PRDX4,0.03,1.0,ENSG00000123131
AGR2,0.03,1.0,ENSG00000106541
HTATIP2,0.01,1.0,ENSG00000109854
OLFM4,0.01,1.0,ENSG00000102837
SLC34A2,0.03,1.0,ENSG00000157765
SIVA1,0.01,1.0,ENSG00000184990
MRPL28,0.02,1.0,ENSG00000086504
CCT4,0.01,1.0,ENSG00000115484
CENPA,0.04,1.0,ENSG00000115163
AHSA1,0.07,1.0,ENSG00000100591
PAIP1,0.01,1.0,ENSG00000172239
SPAG5,0.02,1.0,ENSG00000076382
CENPE,0.01,1.0,ENSG00000138778
PDPN,0.09,1.0,ENSG00000162493
POSTN,0.03,1.0,ENSG00000133110
IGF2BP3,0.02,1.0,ENSG00000136231
KHDRBS1,0.01,1.0,ENSG00000121774
CXCR6,0.01,1.0,ENSG00000172215
CFL1,0.01,1.0,ENSG00000172757
PTGES3,0.01,1.0,ENSG00000110958
PLK4,0.01,1.0,ENSG00000142731
MAP3K2,0.01,1.0,ENSG00000169967
CHL1,0.01,1.0,ENSG00000134121
NES,0.01,1.0,ENSG00000132688
CFTR,0.01,1.0,ENSG00000001626
GJB6,0.01,1.0,ENSG00000121742
CEACAM3,0.07,1.0,ENSG00000170956
PPP1R17,0.01,1.0,ENSG00000106341
HPSE,0.02,1.0,ENSG00000173083
PGRMC1,0.01,1.0,ENSG00000101856
LILRB1,0.01,1.0,ENSG00000104972
ADAM28,0.02,1.0,ENSG00000042980
NMU,0.01,1.0,ENSG00000109255
WDR3,0.01,1.0,ENSG00000065183
PPARGC1A,0.01,1.0,ENSG00000109819
MALT1,0.01,1.0,ENSG00000172175
CPSF4,0.03,1.0,ENSG00000160917
EDAR,0.01,1.0,ENSG00000135960
FASTK,0.31,1.0,ENSG00000164896
SUB1,0.03,1.0,ENSG00000113387
RALBP1,0.01,1.0,ENSG00000017797
MORF4L1,0.1,1.0,ENSG00000185787
PRDX3,0.01,1.0,ENSG00000165672
BTG3,0.01,1.0,ENSG00000154640
ERP29,0.31,1.0,ENSG00000089248
STIP1,0.01,1.0,ENSG00000168439
EBNA1BP2,0.01,1.0,ENSG00000117395
CKAP4,0.02,1.0,ENSG00000136026
TMED10,0.01,1.0,ENSG00000170348
FERMT2,0.01,1.0,ENSG00000073712
COPS6,0.01,1.0,ENSG00000168090
COPS5,0.02,1.0,ENSG00000121022
IMMT,0.01,1.0,ENSG00000132305
KIF2C,0.01,1.0,ENSG00000142945
IL24,0.03,1.0,ENSG00000162892
GLIPR1,0.01,1.0,ENSG00000139278
RAB31,0.1,1.0,ENSG00000168461
RIPK3,0.01,1.0,ENSG00000129465
NUDT21,0.3,1.0,ENSG00000167005
WWP2,0.01,1.0,ENSG00000198373
CHD4,0.01,1.0,ENSG00000111642
DNAJB4,0.12,1.0,ENSG00000162616
RPP14,0.02,1.0,ENSG00000163684
CHEK1,0.06,1.0,ENSG00000149554
PTPRT,0.01,1.0,ENSG00000196090
HHLA2,0.01,1.0,ENSG00000114455
FSTL1,0.07,1.0,ENSG00000163430
STRAP,0.02,1.0,ENSG00000023734
ADAMTS7,0.1,1.0,ENSG00000136378
BAZ1A,0.1,1.0,ENSG00000198604
RASSF1,0.1,1.0,ENSG00000068028
PKP3,0.01,1.0,ENSG00000184363
CHEK2,0.02,1.0,ENSG00000183765
GALNT6,0.01,1.0,ENSG00000139629
EGLN2,0.01,1.0,ENSG00000269858
CAVIN3,0.01,1.0,ENSG00000170955
USP18,0.01,1.0,ENSG00000184979
KLF8,0.02,1.0,ENSG00000102349
PARK7,0.01,1.0,ENSG00000116288
CBX3,0.02,1.0,ENSG00000122565
OIP5,0.01,1.0,ENSG00000104147
MGLL,0.01,1.0,ENSG00000074416
AZIN2,0.04,0.75,ENSG00000142920
CHRNA5,0.14,1.0,ENSG00000169684
SLC35A4,0.01,1.0,ENSG00000176087
CHRNA7,0.01,1.0,ENSG00000175344
UCN3,0.1,1.0,ENSG00000178473
NLRP3,0.02,1.0,ENSG00000162711
CHUK,0.01,1.0,ENSG00000213341
CYGB,0.02,1.0,ENSG00000161544
CISH,0.01,1.0,ENSG00000114737
CTHRC1,0.01,1.0,ENSG00000164932
BATF2,0.01,1.0,ENSG00000168062
FOXP4,0.01,1.0,ENSG00000137166
SCGB3A2,0.01,1.0,ENSG00000164265
CLCN3,0.01,1.0,ENSG00000109572
ANTXR2,0.01,1.0,ENSG00000163297
CLU,0.05,1.0,ENSG00000120885
LRRK2,0.01,1.0,ENSG00000188906
CMA1,0.01,1.0,ENSG00000092009
TDRD9,0.01,1.0,ENSG00000156414
PLIN2,0.01,1.0,ENSG00000147872
CCR3,0.01,1.0,ENSG00000183625
CCR4,0.01,1.0,ENSG00000183813
CCR5,0.01,1.0,ENSG00000160791
CCR6,0.01,1.0,ENSG00000112486
CCR7,0.02,1.0,ENSG00000126353
HYKK,0.11,1.0,ENSG00000188266
MSI2,0.01,1.0,ENSG00000153944
ADH1C,0.01,1.0,ENSG00000248144
CNR1,0.01,1.0,ENSG00000118432
CNTFR,0.01,1.0,ENSG00000122756
